procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3125156  73080 731572    0    0     0     8   87   98  0  0 100  0  0
 0  0      0 3125016  73080 731572    0    0     0     0   91  102  0  0 99  0  0
 0  0      0 3125148  73080 731572    0    0     0     0   78   89  0  0 100  0  0
 0  1      0 3124760  73088 731572    0    0     0    48   71  106  0  1 99  1  0
 0  0      0 3124404  73088 731576    0    0     0     0   91  101  0  1 98  2  0
 0  0      0 3124272  73088 731576    0    0     0    24   69  101  0  0 99  0  0
 0  0      0 3123996  73088 731576    0    0     0     4  461  543  5  2 93  0  0
 0  0      0 3124144  73088 731592    0    0     0     0   82   95  0  0 99  0  0
 0  1      0 3124052  73096 731592    0    0     0    56  387  474  4  3 93  1  0
 0  0      0 3124388  73096 731596    0    0     0     0   70  101  0  0 97  2  0
 1  0      0 3124504  73096 731600    0    0     0    24   54   70  0  0 100  0  0
 0  0      0 3124636  73096 731604    0    0     0     0   73   98  0  0 100  0  0
 0  0      0 3124720  73096 731604    0    0     0     0   80   88  1  0 99  0  0
 0  1      0 3124884  73104 731544    0    0     0    44   89  107  0  0 99  1  0
 0  0      0 3124916  73104 731544    0    0     0     0   84   93  0  0 97  2  0
 0  0      0 3124792  73104 731544    0    0     0    24   84  118  0  0 100  0  0
 0  0      0 3124200  73104 731544    0    0     0     0  346  449  4  3 94  0  0
 0  0      0 3124292  73104 731564    0    0     0     0   86   97  0  0 99  0  0
 0  1      0 3124236  73112 731556    0    0     0    48   88   99  0  1 99  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124416  73112 731568    0    0     0     0   88  110  0  0 98  2  0
 1  0      0 3124332  73112 731568    0    0     0     4  403  457  4  3 93  0  0
 0  0      0 3124636  73112 731580    0    0     0    20   89  104  0  0 100  0  0
 0  0      0 3124512  73112 731580    0    0     0     0   80   88  0  0 99  0  0
 0  1      0 3124760  73120 731588    0    0     0    36   86  114  0  0 99  1  0
 0  0      0 3124416  73120 731588    0    0     0     0   76   97  0  0 99  0  0
 0  0      0 3124388  73120 731588    0    0     0     0   76  107  0  0 100  0  0
 0  0      0 3124588  73120 731588    0    0     0    20   87   90  0  0 99  0  0
 0  0      0 3124760  73120 731592    0    0     0     0   85  107  0  0 100  0  0
 0  1      0 3124612  73128 731584    0    0     0    48   90   97  0  0 99  1  0
 0  0      0 3124636  73128 731616    0    0     0     0   65   97  0  0 99  0  0
 0  0      0 3124636  73128 731616    0    0     0     0   81   85  0  1 99  0  0
 0  0      0 3124916  73128 731616    0    0     0    24   82  109  0  0 99  0  0
 0  0      0 3124916  73128 731620    0    0     0     0   76   90  0  0 100  0  0
 0  1      0 3124916  73136 731628    0    0     0    44   73  100  0  0 99  1  0
 0  0      0 3124916  73136 731632    0    0     0     0   83   94  0  0 98  2  0
 0  0      0 3124916  73136 731636    0    0     0     0   95  112  0  0 100  0  0
 0  0      0 3124916  73136 731640    0    0     0    20   86   90  0  0 100  0  0
 0  0      0 3124916  73136 731648    0    0     0     0   87  101  0  0 100  0  0
 0  1      0 3124768  73144 731656    0    0     0    48   88   98  0  0 98  1  0
 0  0      0 3124916  73144 731660    0    0     0     0   88  113  0  0 98  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 3124868  73144 731660    0    0     0     0   90   93  0  1 99  0  0
 0  0      0 3124916  73144 731668    0    0     0    24   84   95  0  0 100  0  0
 0  0      0 3124768  73144 731668    0    0     0     0   80   87  0  1 100  0  0
 0  1      0 3124916  73152 731680    0    0     0    36   89  113  0  1 99  1  0
 0  0      0 3124916  73152 731680    0    0     0     0   87  101  0  0 97  2  0
 0  0      0 3124948  73152 731688    0    0     0     0   84  103  0  0 99  0  0
 0  0      0 3124796  73152 731688    0    0     0     0   81   89  0  0 100  0  0
 0  0      0 3124756  73152 731700    0    0     0    16   96  116  0  0 99  0  0
 0  1      0 3124632  73160 731700    0    0     0    36   84   96  0  1 99  1  0
 0  0      0 3124632  73160 731712    0    0     0     0   98  113  0  1 98  2  0
 0  0      0 3124508  73160 731628    0    0     0     0   88   92  0  0 99  0  0
 0  0      0 3124756  73160 731628    0    0     0     0   85  107  0  0 100  0  0
 0  0      0 3124492  73160 731632    0    0     0    20   82   99  0  0 99  0  0
