procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2351048  74996 819908    0    0     0     0 9601 28634 26 35 39  0  0
 3  0  20124 2345988  74996 819908    0    0     0     0 10534 27594 25 40 35  0  0
 2  0  20124 2341888  74996 819916    0    0     0     4 10168 31637 25 37 38  0  0
 3  1  20124 2336928  74996 819924    0    0     0     0 11674 28775 28 38 34  0  0
 3  1  20124 2331844  75000 819920    0    0     0    24 10995 26915 27 40 33  0  0
 3  0  20124 2326636  75000 819924    0    0     0     0 11702 29799 25 41 34  0  0
 3  0  20124 2321676  75000 819924    0    0     0     0 11172 29219 25 41 34  0  0
 2  0  20124 2317212  75000 819924    0    0     0    16 9176 28075 22 38 41  0  0
 3  0  20124 2312004  75000 819924    0    0     0     0 10927 28049 27 39 34  0  0
 2  0  20124 2306920  75000 819924    0    0     0     0 10513 26123 24 43 33  0  0
 2  0  20124 2301960  75008 819924    0    0     0    40 11173 29848 25 42 32  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2296876  75008 819924    0    0     0     0 11164 29551 24 43 34  0  0
 3  0  20124 2291544  75008 819928    0    0     0    20 11316 28417 25 41 34  0  0
 3  0  20124 2286708  75008 819928    0    0     0     0 11889 30572 25 41 34  0  0
 3  0  20124 2281748  75008 819928    0    0     0     0 10945 27264 25 41 34  0  0
 3  0  20124 2276540  75012 819928    0    0     0    48 10874 27227 24 42 32  1  0
 3  0  20124 2271580  75012 819928    0    0     0     0 11485 29320 26 40 34  0  0
 3  0  20124 2266496  75012 819928    0    0     0     0 11377 28750 26 40 34  0  0
 3  0  20124 2261536  75012 819928    0    0     0     0 11893 30840 26 40 34  0  0
 3  0  20124 2256576  75012 819928    0    0     0     0 11261 28967 26 41 33  0  0
 1  0  20124 2251492  75020 819928    0    0     0    24 11515 28900 26 40 33  1  0
 3  0  20124 2246656  75020 819928    0    0     0     0 10844 27041 26 40 33  0  0
 2  0  20124 2241448  75020 819928    0    0     0     0 10830 27313 27 39 34  0  0
 3  0  20124 2236644  75020 819928    0    0     0     0 11691 29965 26 40 33  0  0
 2  0  20124 2231524  75020 819928    0    0     0     0 11210 27730 24 41 35  0  0
 3  0  20124 2226408  75020 819928    0    0     0    24 12115 30865 25 41 33  1  0
 3  0  20124 2221572  75020 819928    0    0     0     0 11432 28559 26 40 34  0  0
 3  0  20124 2216612  75020 819928    0    0     0     0 11659 29543 26 41 34  0  0
 3  0  20124 2211528  75020 819928    0    0     0     0 11155 28612 25 41 34  0  0
 3  0  20124 2206444  75020 819928    0    0     0     0 11175 29545 25 42 33  0  0
 4  0  20124 2192656  75020 823008    0    0     0    24 11610 29660 30 42 27  1  0
 2  0  20124 2163236  75020 839100    0    0     0     0 11908 29224 49 43  8  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0  20124 2182208  75024 829256    0    0     0 24492 10299 28220 31 38 23  8  0
 3  0  20124 2177504  75024 828988    0    0     0     0 11209 28245 27 39 34  0  0
 2  0  20124 2172420  75024 828988    0    0     0     0 10819 27309 25 41 34  0  0
 3  0  20124 2167584  75024 828988    0    0     0     0 10589 25968 26 40 34  0  0
 3  0  20124 2163492  75024 828988    0    0     0     0 7937 26006 21 33 46  0  0
 3  1  20124 2158532  75028 828984    0    0     0    64 10481 26193 26 40 33  1  0
 2  0  20124 2153448  75028 828988    0    0     0     0 10975 27185 26 41 33  0  0
 3  0  20124 2148612  75028 828996    0    0     0     0 10962 29594 26 41 33  0  0
 3  0  20124 2143652  75028 828996    0    0     0     0 11396 29797 27 38 34  0  0
 3  0  20124 2138444  75028 828996    0    0     0     0 11354 29144 23 43 34  0  0
 3  0  20124 2133732  75028 828996    0    0     0     0 11345 29715 26 40 34  0  0
 3  0  20124 2128648  75032 828996    0    0     0    24 11578 29260 26 41 33  1  0
 3  0  20124 2123812  75032 828996    0    0     0     0 11372 28966 24 41 34  0  0
 3  0  20124 2118852  75032 828996    0    0     0     0 11571 27738 26 40 34  0  0
