procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2863732  52620 1074096    0    0     0     0  100   42  0  0 100  0  0
 0  0      0 2863732  52620 1074092    0    0     0     0   89   18  0  0 100  0  0
 0  0      0 2863732  52628 1074092    0    0     0    12  106   48  0  0 99  1  0
 0  0      0 2863204  52628 1074528    0    0   472     0  295  430  1  0 99  0  0
 0  0      0 2863328  52628 1074560    0    0     0     0  100   42  0  0 100  0  0
 0  0      0 2863328  52628 1074556    0    0     0     0   90   22  0  0 100  0  0
 0  0      0 2863328  52628 1074556    0    0     0     0   91   22  0  0 100  0  0
 0  0      0 2863328  52632 1074556    0    0     0    40   95   31  0  0 99  1  0
 0  0      0 2863328  52632 1074556    0    0     0     0   97   33  0  0 100  0  0
 0  0      0 2863328  52632 1074556    0    0     0     0   89   18  0  0 100  0  0
 0  0      0 2863328  52632 1074556    0    0     0     0   98   38  0  0 100  0  0
 0  0      0 2863328  52636 1074548    0    0     8     0  141   98  0  0 100  0  0
 0  0      0 2863320  52640 1074440    0    0     0    52  121   74  0  0 99  1  0
 0  0      0 2863320  52640 1074432    0    0     0     0   96   28  0  0 100  0  0
 0  0      0 2863320  52640 1074428    0    0     0     0   97   36  0  0 100  0  0
 0  0      0 2863320  52640 1074420    0    0     0     0   89   22  0  0 100  0  0
 0  0      0 2863320  52640 1074420    0    0     0     0   93   28  0  0 100  0  0
 0  0      0 2863320  52644 1074412    0    0     0    12   97   36  0  0 99  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 2863352  52644 1074388    0    0     0     0   91   32  0  0 100  0  0
 0  0      0 2863452  52644 1074372    0    0     0     0   87   18  0  0 100  0  0
 0  0      0 2863600  52644 1074308    0    0     0    68   89   47  0  0 100  0  0
 0  0      0 2863600  52644 1074264    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0    24   27   44  0  0 98  2  0
 0  0      0 2863600  52648 1074264    0    0     0     0   20   24  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0     0   19   30  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0     0   15   18  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0     0   14   20  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0    12   27   34  0  0 99  1  0
 0  0      0 2863600  52648 1074264    0    0     0     0   17   27  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0     0   18   19  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0     0   13   20  0  0 100  0  0
 0  0      0 2863600  52648 1074264    0    0     0     0   16   20  0  0 100  0  0
 0  0      0 2863600  52652 1074264    0    0     0    12   24   39  0  0 99  1  0
 0  0      0 2863600  52652 1074264    0    0     0     0   27   32  0  0 100  0  0
 0  0      0 2863600  52652 1074264    0    0     0     0   13   20  0  0 100  0  0
 0  0      0 2863600  52652 1074264    0    0     0     0   17   20  0  0 100  0  0
 0  0      0 2863600  52652 1074264    0    0     0     0   16   26  0  0 100  0  0
