procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1    364 3311280  31992 638740    0    0     0    12   65   78  0  0 100  0  0
 0  0    364 3311428  31992 638740    0    0     0     0   73   79  0  0 97  2  0
 0  0    364 3311412  31992 638756    0    0     0     0   67   78  1  0 100  0  0
 0  0    364 3310900  31992 638756    0    0     0     8   75   85  0  0 100  0  0
 0  0    364 3311156  31992 638768    0    0     0     0   62   68  0  0 100  0  0
 0  0    364 3310876  31992 638768    0    0     0     0   70   79  1  0 100  0  0
 0  0    364 3311108  32000 638776    0    0     0    12   76   91  0  0 97  3  0
 0  0    364 3311312  32000 638776    0    0     0     0   67   69  0  0 100  0  0
 0  0    364 3311184  32000 638780    0    0     0     0   63   70  0  0 100  0  0
 0  0    364 3311236  32000 638780    0    0     0     0   64   67  0  0 100  0  0
 0  0    364 3311312  32000 638792    0    0     0     0   72   86  0  0 99  0  0
 0  0    364 3311244  32008 638784    0    0     0    12   74   82  0  0 96  4  0
 0  0    364 3311120  32008 638800    0    0     0     0   51   60  0  1 100  0  0
 1  0    364 3311268  32008 638800    0    0     0     0   53   65  0  0 100  0  0
 0  0    364 3311276  32008 638808    0    0     0     0   51   55  0  0 100  0  0
 0  0    364 3311128  32008 638808    0    0     0     0   68   74  0  0 99  0  0
 0  0    364 3311276  32016 638736    0    0     0    12   75   91  0  0 98  2  0
 0  1    364 3311120  32016 638736    0    0     0     0   63   64  0  0 99  0  0
 0  0    364 3311128  32016 638736    0    0     0     0   70   81  0  0 100  0  0
 0  0    364 3311112  32016 638736    0    0     0     0   65   73  0  0 100  0  0
 0  0    364 3311004  32016 638736    0    0     0     0   66   72  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311088  32024 638736    0    0     0    12   67   81  0  0 98  2  0
 0  0    364 3311012  32024 638736    0    0     0     0   69   80  0  0 100  0  0
 0  0    364 3311088  32024 638744    0    0     0     0   80   89  0  0 100  0  0
 0  0    364 3310964  32024 638744    0    0     0     0   80   76  0  1 100  0  0
 0  0    364 3310996  32024 638752    0    0     0     0   75   74  0  0 100  0  0
 0  0    364 3310964  32032 638752    0    0     0    12   93   99  0  0 97  3  0
 0  0    364 3310996  32032 638760    0    0     0     0   77   76  0  0 100  0  0
 0  0    364 3311012  32032 638760    0    0     0     0   77   76  0  0 99  0  0
 0  0    364 3311244  32032 638768    0    0     0     0   78   76  0  0 100  0  0
 0  0    364 3311160  32032 638768    0    0     0     0   82   88  0  0 100  0  0
 0  0    364 3311252  32040 638776    0    0     0    12   86   90  0  0 97  3  0
 0  0    364 3311160  32040 638776    0    0     0     0   80   75  0  0 99  0  0
 0  0    364 3311244  32040 638784    0    0     0     8   93   87  0  0 100  0  0
 0  0    364 3311168  32040 638784    0    0     0     0   80   78  0  0 99  0  0
 0  0    364 3311120  32040 638792    0    0     0     0   76   79  0  0 100  0  0
 0  0    364 3311192  32048 638796    0    0     0    24   96   95  0  0 96  3  0
 0  0    364 3311044  32048 638800    0    0     0     0   74   68  0  0 100  0  0
 0  0    364 3311092  32048 638804    0    0     0     0   75   82  0  0 100  0  0
 0  0    364 3311284  32048 638808    0    0     0     0   72   70  0  0 100  0  0
 0  1    364 3311224  32056 638804    0    0     0    12   83   83  0  0 99  1  0
 0  0    364 3311020  32056 638816    0    0     0     0   86   85  0  1 98  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311100  32056 638820    0    0     0     0   91   95  0  0 100  0  0
 0  0    364 3311028  32056 638824    0    0     0     0   77   75  0  1 100  0  0
 0  0    364 3311224  32056 638740    0    0     0     0   79   76  0  0 100  0  0
 0  0    364 3311028  32056 638740    0    0     0     0   73   70  0  1 100  0  0
 0  0    364 3311348  32064 638740    0    0     0    12   91   99  0  0 97  3  0
 0  0    364 3311152  32064 638740    0    0     0     0   80   79  0  1 100  0  0
 0  0    364 3311348  32064 638740    0    0     0     0   84   79  0  0 99  0  0
 0  0    364 3311152  32064 638744    0    0     0     0   73   73  0  0 100  0  0
 0  0    364 3311348  32064 638748    0    0     0     0   81   85  0  0 100  0  0
